tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
34039038602,"Scotch Plains, NJ",,,#N/A,#N/A
34019011002,"Hunterdon County, NJ",,,0,0.009
34027041300,"Denville, NJ",,,0,0.038
34013016200,"Upper Montclair, Montclair, NJ",,,0,0.0041
34003033100,"Maywood, NJ",,,0.0182,0.0205
34031256805,"Newfoundland, West Milford, NJ",,,0,0.048
34017006600,"Jersey City, NJ",,,0,0
34003020100,"Franklin Lakes, NJ",,,0,0.0054
34013021300,"Cedar Grove, NJ",,,0,0.0216
34003031300,"Lyndhurst, NJ",,,0.0809,0.0096
34031256802,"Hewitt, West Milford, NJ",,,0,0.0529
34031116500,"Bloomingdale, NJ",,,0.144,0.0326
34017013100,"Kearny, NJ",,,0.1917,0.0333
34013016100,"Upper Montclair, Montclair, NJ",,,0,0.0054
34003012001,"East Rutherford, NJ",,,0.3008,0.0494
34013021601,"Fairfield, NJ",,,0,0.0214
34013014100,"Belleville, NJ",,,0.0198,0.0257
34003061400,"Wyckoff, NJ",,,0,0.0081
34035050901,"Martinsville, Bridgewater, NJ",,,#N/A,#N/A
34039037300,"Cranford, NJ",,,0,0.034
34027046106,"Budd Lake, Mount Olive Township, NJ",,,0,0.047
34031246300,"Wayne, NJ",,,0.0418,0.0399
34003025200,"Hasbrouck Heights, NJ",,,0.0515,0.0304
34017006900,"West Side, Jersey City, NJ",,,0,0
34027041702,"Lake Hiawatha, Parsippany-Troy Hills, NJ",,,0.2257,0.0705
34027042800,"Chatham, NJ",,,0,0.0019
34017010300,"Bayonne, NJ",,,0.2698,0.0187
34017020000,"Secaucus, NJ",,,0.2136,0.0778
34003022100,"Glen Rock, NJ",,,0,0.0009
34027044200,"Morristown, NJ",,,0,0.0067
34027040400,"Riverdale, NJ",,,0,0.0374
34019010801,"Clinton, NJ",,,#N/A,#N/A
34031256803,"West Milford, NJ",,,#N/A,#N/A
34003059200,"Westwood, NJ",,,0.0326,0.0229
34039036301,"Clark, NJ",,,#N/A,#N/A
34031133702,"Haledon, NJ",,,0.1789,0.077
34019010701,"Pittstown, Union Township, NJ",,,0,0.0198
34013013600,"Nutley, NJ",,,0.1491,0.0335
34031216702,"Ringwood, NJ",,,0,0.014
34003021600,"Garfield, NJ",,,0.2426,0.0793
34003052100,"Saddle Brook, NJ",,,0.0383,0.0188
34037372600,"Stockholm, Hardyston Township, NJ",,,0,0.057
34013007600,"North Ironbound, Newark, NJ",,,0.1977,0.1568
34003025100,"Hasbrouck Heights, NJ",,,0.1259,0.0035
34017000500,"The Heights, Jersey City, NJ",,,0.2313,0.0972
34003057101,"Wallington, NJ",,,0,0.0718
34019010400,"Asbury, NJ",,,0,0.0246
34003053100,"Saddle River, NJ",,,0,0.0059
34003058100,"Township of Washington, NJ",,,0,0.0328
34039037400,"Cranford, NJ",,,0,0.0208
34027045703,"Mount Freedom, Randolph, NJ",,,0,0.0071
34013015000,"Bloomfield, NJ",,,0,0.0014
34027044601,"Oak Ridge, Jefferson, NJ",,,0,0.0304
42095018200,"Mount Bethel, PA",,,0,0.0602
34003043001,"Park Ridge, NJ",,,0,0.0287
34017010600,"Constable Hook, Bayonne, NJ",,,0.1939,0.0832
34027043100,"Madison, NJ",,,0,0.0115
34041032000,"Washington, NJ",,,0,0.0944
