tract,Name,TBR Black,TBR Asian,TBR Hispanic,TBR White
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",,0,0,0
24005420200,"Dundalk, MD",,0,0,0.113
24005451600,"Middle River, MD",,0,0,0.1403
24005450200,"Essex, MD",,0,0,0.2036
24005440500,"Nottingham, MD",,0,0,0.1453
24003751200,"Linthicum Heights, MD",,0,0,0.0945
24005451900,"Edgemere, MD",,0,0,0.1848
24005490601,"Baltimore, MD",,#N/A,#N/A,0.0007
24005430800,"Halethorpe, MD",,0,0,0.1503
24005420402,"Dundalk, MD",,0,0,0.2494
24510240300,"Riverside, Baltimore, MD",,0,0,0.198
24510130700,"Hampden, Baltimore, MD",,0,0,0.2227
24005450400,"Essex, MD",,0,0,0.2713
24510240200,"Riverside, Baltimore, MD",,0,0,0.171
24005421000,"Dundalk, MD",,0,0,0.3158
24510010100,"Canton, Baltimore, MD",,0,0,0.2332
24005441101,"Rosedale, MD",,0,0,0.1084
24510010400,"Canton, Baltimore, MD",,0,0,0.1943
24005490500,"Towson, MD",,#N/A,#N/A,0.016
24510261100,"Canton, Baltimore, MD",,0,0,0.261
24005420500,"Baltimore, MD",,0,0,0.1445
24005452100,"Sparrows Point, MD",,0,0,0.1587
24005401400,"Catonsville, MD",,0,0,0.0393
24027601104,"Ellicott City, MD",,0,0,0.0412
24510130804,"Hampden, Baltimore, MD",,0,0,0.3408
24510260700,"Fifteenth Street, Baltimore, MD",,0,0,0.19
24003750300,"Linthicum Heights, MD",,0,0,0.2019
24005400200,"Catonsville, MD",,0,0,0.0547
24003750203,"Baltimore, MD",,0,0,0.3078
24027602700,"Taylor Village, Ellicott City, MD",,0,0,0.0236
24005490603,"Baltimore, MD",,#N/A,#N/A,0.0079
24510271400,"Evergreen, Baltimore, MD",,0,0,0.0076
24005451000,"Essex, MD",,0,0,0.1635
24005420702,"Dundalk, MD",,0,0,0.1664
24510240100,"Locust Point, Baltimore, MD",,0,0,0.2677
24510272004,"Cheswolde, Baltimore, MD",,0,0,0.013
24005420600,"Baltimore, MD",,0,0,0.2243
24510100300,"Penn - Fallsway, Baltimore, MD",,0,0,0
24510250303,"Morrell Park, Baltimore, MD",,0,0,0.3707
24005400500,"Catonsville, MD",,0,0,0.0343
24005492102,"Parkville, MD",,#N/A,#N/A,0.1603
24005430700,"Halethorpe, MD",,0,0,0.1276
24005403601,"Baltimore, MD",,#N/A,#N/A,0.0058
24005411302,"White Marsh, MD",,0,0,0.125
24510271503,"Cross Keys, Baltimore, MD",,0,0,0
24005440200,"Nottingham, MD",,0,0,0.1043
24510271300,"Roland Park, Baltimore, MD",,0,0,0.0022
24027601105,"Ellicott City, MD",,0,0,0.0872
24005400400,"Catonsville, MD",,0,0,0.0366
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",,0,0,0.2096
24510260401,"Armistead Gardens, Baltimore, MD",,0,0,0.2553
24510010500,"Upper Fells Point, Baltimore, MD",,0,0,0.2825
24005450300,"Essex, MD",,0,0,0.1303
24510020100,"Upper Fells Point, Baltimore, MD",,0,0,0.3479
24510130600,"Hampden, Baltimore, MD",,0,0,0.3467
24510271102,"Mid-Charles, Baltimore, MD",,0,0,0.0015
24003750801,"Glen Burnie, MD",,#N/A,#N/A,0.1373
